Professor,Artigo
JOSILENE AIRES MOREIRA,Promovendo a Inclusão Social e o Empoderamento das Mulheres através do Conhecimento em Ciência da Computação
JOSILENE AIRES MOREIRA,Programa “Servidoras que Transformam”-Cursos de Formação Intensiva em Programação Python para Servidoras Públicas: Um Relato de Experiência
JOSILENE AIRES MOREIRA,O Cientista ou A Cientista? Reflexões sobre o Impacto dos Estereótipos de Gênero sobre as Escolhas Profissionais de Alunas do Ensino Médio
JOSILENE AIRES MOREIRA,GAMIFICATION IN FOOD BIOCHEMISTRY TEACHING AT UFPB BRAZIL IN PANDEMIC
JOSILENE AIRES MOREIRA,STRATEGIC LEARNING IN TIMES OF PANDEMIC: TRAINING PARENTS OF CHILDREN UNDERGOING CANCER TREATMENT IN NUTRITIONAL EDUCATION VIA SOCIAL NETWORKS
JOSILENE AIRES MOREIRA,COVID19: DISTANCE LEARNING IN TIMES OF CRISIS (FROM FACE-TO-FACE TO REMOTE LEARNING)
JOSILENE AIRES MOREIRA,AWAKENING THE INTEREST IN COMPUTER SCIENCE THROUGH THE USE OF ARDUINO-A CASE STUDY WITH HIGH SCHOOL GIRLS
JOSILENE AIRES MOREIRA,SKILLS REQUIRED FOR THE INDUSTRY 4.0 AFTER COVID-19
JOSILENE AIRES MOREIRA,FROM THE REAL TO THE VIRTUAL WORLD: TRANSITION EXPERIENCES OF A COMPUTER SCIENCE TEACHING PROJECT IN THE CONTEXT OF THE COVID-19 PANDEMIC
JOSILENE AIRES MOREIRA,HOW EDUCATIONAL TECHNOLOGIES HAVE IMPACTED THE TEACHING-LEARNING PROCESS IN TIMES OF COVID-19 PANDEMIC
JOSILENE AIRES MOREIRA,O uso da tecnologia como ferramenta de aprendizagem: uma experiência com o software Hagáquê na produção de histórias em quadrinhos para o ensino da matemática
JOSILENE AIRES MOREIRA,MovieMatcher: A Heuristic to Match Movies Based on Metadata from Different Data Sources
JOSILENE AIRES MOREIRA,DIFICULDADES PARA O INGRESSO E PERMANÊNCIA NA CIÊNCIA E ENGENHARIA DA COMPUTAÇÃO: UM OLHAR FEMININO
JOSILENE AIRES MOREIRA,Um Panorama da Presença Feminina na Ciência da Computação
JOSILENE AIRES MOREIRA,Avaliando Técnicas de Cache para a Distribuição de Vídeo sob-Demanda na Internet
JOSILENE AIRES MOREIRA,O impacto da métrica e do escalonador sobre a performance dos supercomputadores paralelos.
JOSILENE AIRES MOREIRA,Usando Performance Relativa para Avaliar Desempenho em Supercomputadores Paralelos
JOSILENE AIRES MOREIRA,REDUÇÃO DOS CUSTOS COMPUTACIONAIS CAUSADA PELA DIMINUIÇÃO DA PLATAFORMA DE TRABALHO: ESTUDO DE CASO TELPA SA
JOSILENE AIRES MOREIRA,Acessibilidade de Cadeirantes em uma Universidade Pública: Sustentabilidade social num caminho com menos barreiras
JOSILENE AIRES MOREIRA,Métricas para avaliação de desempenho computacional em sistemas produtivos
JOSILENE AIRES MOREIRA,Oficinas de Programação Para Meninas do Ensino Médio: Estimulando o Interesse pela Computação
JOSILENE AIRES MOREIRA,HOW TO SELECT A BETTER CACHE STRATEGY TO IMPROVE VIDEO DISTRIBUTION PERFORMANCE
JOSILENE AIRES MOREIRA,Identificando Tráfego VoIP a Partir de Fluxos: o Caso Skype
JOSILENE AIRES MOREIRA,Estratégias de Cache para a Redução do Consumo de Banda e dos Atrasos na Distribuição de Vídeo Sob-Demanda na Internet
JOSILENE AIRES MOREIRA,Reduzindo o Tráfego Gerado por Aplicações Par-a-Par para Distribuição de Vídeo sob-Demanda na Internet
KELY DIANA VILLACORTA VILLACORTA,Nenhuma publicação encontrada
LEANDRO CARLOS DE SOUZA,A parametrized approach for linear regression of interval data
LEANDRO CARLOS DE SOUZA,A framework for development of virtual reality-based training simulators
LEANDRO CARLOS DE SOUZA,SmartSPR sensor: Machine learning approaches to create intelligent surface plasmon based sensors
LEANDRO CARLOS DE SOUZA,Development of a vr simulator for medical training using free tools: A case study
LEANDRO CARLOS DE SOUZA,An instance selection method for large datasets based on markov geometric diffusion
LEANDRO CARLOS DE SOUZA,Dynamic clustering of interval data based on hybrid distance
LEANDRO CARLOS DE SOUZA,Online assessment of training in virtual reality simulators based on general bayesian networks
LEANDRO CARLOS DE SOUZA,Desenvolvimento Rápido de Aplicações de Realidade Virtual Utilizando Software Livre
LEANDRO CARLOS DE SOUZA,Combination of digital image processing and statistical data segmentation to enhance SPR and SPRi sensor responses
LEANDRO CARLOS DE SOUZA,Parametrized linear regression for boxplot-multivalued data applied to the Brazilian Electric Sector
LEANDRO CARLOS DE SOUZA,Kohonen map-wise regression applied to interval data
LEANDRO CARLOS DE SOUZA,A transferência na clínica do autismo
LEANDRO CARLOS DE SOUZA,Skills Assessment of Users in Medical Training Based on Virtual Reality Using Bayesian Networks
LEANDRO CARLOS DE SOUZA,Bootstrap analysis of compression algorithms
LEANDRO CARLOS DE SOUZA,Microbiological strategies for sustainable production of bioactive compounds using oil produced water effluent with sucrose and crude glycerine as carbon sources
LEANDRO CARLOS DE SOUZA,Incorporação de Deformação Física no Sistema CyberMed
LEANDRO CARLOS DE SOUZA,Single-Qudit Quantum Neural Networks for Multiclass Classification
LEANDRO CARLOS DE SOUZA,Regression and Classification with Single-Qubit Quantum Neural Networks
LEANDRO CARLOS DE SOUZA,Anti-aliasing method based on rotated spatial filtering
LEANDRO CARLOS DE SOUZA,Implementação de DFAs e ENFAs configuráveis em Java
LEANDRO CARLOS DE SOUZA,Bootstrap Analysis of Compression Methods
LEANDRO CARLOS DE SOUZA,Simultaneous Production of Bioactive Compounds for Application in Enhanced Oil Recovery
LEANDRO CARLOS DE SOUZA,Cinema direto na Paraíba: a consolidação de um estilo na representação do real
LEANDRO CARLOS DE SOUZA,"174 Medicine Meets Virtual Reality 17 JD Westwood et al.(Eds.) IOS Press, 2009© 2009 The authors. All rights reserved."
LEANDRO CARLOS DE SOUZA,Response of oxidative stress enzymes biomakers in the diatom Minutocellus polymorphus exposed to diphenyl ether herbicide
LEANDRO CARLOS DE SOUZA,"Dynamic clustering of interval data based on hibrid L1, L2 and L∞ distances"
LEONARDO VIDAL BATISTA,Compression of ECG signals by optimized quantization of discrete cosine transform coefficients
LEONARDO VIDAL BATISTA,Face recognition using DCT coefficients selection
LEONARDO VIDAL BATISTA,Author identification using writer-dependent and writer-independent strategies
LEONARDO VIDAL BATISTA,A novel method to predict genomic islands based on mean shift clustering algorithm
LEONARDO VIDAL BATISTA,2D-DCT distance based face recognition using a reduced number of coefficients
LEONARDO VIDAL BATISTA,Using Conjunctions and Adverbs for Author Verification.
LEONARDO VIDAL BATISTA,Compression of ECG signals based on optimum quantization of discrete cosine transform coefficients and Golomb-Rice coding
LEONARDO VIDAL BATISTA,Near-Lossless Compression of ECG Signals using Perceptual Masks in the DCT Domain
LEONARDO VIDAL BATISTA,Texture classification using the Lempel-Ziv-Welch algorithm
LEONARDO VIDAL BATISTA,Compression and stylometry for author identification
LEONARDO VIDAL BATISTA,Evaluation of bone repair in the femur of rats submitted to laser therapy in different wavelengths: an image segmentation method of analysis
LEONARDO VIDAL BATISTA,"Innovative and sustainable food preservation techniques: Enhancing food quality, safety, and environmental sustainability"
LEONARDO VIDAL BATISTA,Author identification using compression models
LEONARDO VIDAL BATISTA,Atribuição de Autoria usando PPM
LEONARDO VIDAL BATISTA,"A new multiscale, curvature-based shape representation technique for image retrieval based on dsp techniques"
LEONARDO VIDAL BATISTA,CNN prediction enhancement by post-processing for hydrocarbon detection in seismic images
LEONARDO VIDAL BATISTA,Multispectral image unsupervised segmentation using watershed transformation and cross-entropy minimization in different land use
LEONARDO VIDAL BATISTA,Heart arrhythmia classification using the PPM algorithm
LEONARDO VIDAL BATISTA,Unlocking the Potential of Insect-Based Proteins: Sustainable Solutions for Global Food Security and Nutrition
LEONARDO VIDAL BATISTA,Turbidity classification of the Paraopeba River using machine learning and Sentinel-2 images
LEONARDO VIDAL BATISTA,"Coastal evolution and future projections in Conde County, Brazil: A multi-decadal assessment via remote sensing and sea-level rise scenarios"
LEONARDO VIDAL BATISTA,Comparative study of learning algorithms for recognition by hand geometry
LEONARDO VIDAL BATISTA,"Software em Windows para processamento, armazenamento e análise de sinais obtidos em experimentos de fisiologia"
LEONARDO VIDAL BATISTA,Investigation of guar gum and xanthan gum influence on essential thyme oil emulsion properties and encapsulation release using modeling tools
LEONARDO VIDAL BATISTA,An FPGA implementation of a lossless electrocardiogram compressor based on prediction and Golomb-rice coding
LEONARDO VIDAL BATISTA,A collaborative deep multitask learning network for face image compliance to ISO/IEC 19794-5 standard
LEONARDO VIDAL BATISTA,e Lima
LEONARDO VIDAL BATISTA,Compressão de sinais eletrocardiográficos baseada na transformada cosseno discreta.
LEONARDO VIDAL BATISTA,Assessing facial image accordance to ISO/ICAO requirements
LEONARDO VIDAL BATISTA,Ensino de programação para Olimpíada Brasileira de Informática
LEONARDO VIDAL BATISTA,An FPGA implementation of a microprogrammable controller to perform lossless data compression based on the Huffman algorithm
LEONARDO VIDAL BATISTA,Classificação automática de textos por período literário utilizando compressão de dados através do ppm-c
LEONARDO VIDAL BATISTA,Texture classification using local and global histogram equalization and the Lempel-Ziv-Welch algorithm
LEONARDO VIDAL BATISTA,Notas de aula da disciplina introdução ao processamento digital de imagens
LEONARDO VIDAL BATISTA,A multibiometric access control architecture for continuous authentication
LEONARDO VIDAL BATISTA,Compressão sem Perdas de Imagens Mamográficas Utilizando Código Gray e Algoritmo PPM
LEONARDO VIDAL BATISTA,Compressão de Imagens Mamográficas Utilizando Segmentação e o Algoritmo PPM
LEONARDO VIDAL BATISTA,Compressão sem Perdas de Sinais Eletrocardiográficos
LEONARDO VIDAL BATISTA,Analysis and improvements of fingerprint enhancement from gabor iterative filtering
LEONARDO VIDAL BATISTA,Heart arrhythmia classification using the prediction by partial matching algorithm
LEONARDO VIDAL BATISTA,Texture Classification using Histogram Equalization and the Lempel-Ziv-Welch Algorithm
LEONARDO VIDAL BATISTA,Virtual Web System for Realization of Consultation and Diagnosis
LEONARDO VIDAL BATISTA,"Dynamic monitoring of surface area and water volume of reservoirs using satellite imagery, computer vision and deep learning"
LEONARDO VIDAL BATISTA,Drying kinetics of industrial pineapple waste: effective diffusivity and thermodynamic properties resulting from new mathematical models derived from the Fick equation
LEONARDO VIDAL BATISTA,Modulation of rheological and textural properties in avocado pulp: Impact of maltodextrin concentration and temperature
LEONARDO VIDAL BATISTA,Transfer learning for face anti-spoofing detection
LEONARDO VIDAL BATISTA,A novel fingerprint quality assessment based on gabor filters
LEONARDO VIDAL BATISTA,Information theory-based detection of noisy bit planes in medical images
LEONARDO VIDAL BATISTA,Segmentação do músculo peitoral em imagens mamográficas através do recorte automático de ROI e da binarização de Otsu
LEONARDO VIDAL BATISTA,Análise de Formas Baseada no Método da Curvature Scale Space Para Tumores de Câncer de Mama
LEONARDO VIDAL BATISTA,An ECG compression method using peak selection and discrete cosine transform
LEONARDO VIDAL BATISTA,"Engineering effects of hydrocolloids on drying kinetics, powder characteristics, and antioxidant preservation in grape powder"
LEONARDO VIDAL BATISTA,Evaluating data representations for object recognition during pick-and-place manipulation tasks
LEONARDO VIDAL BATISTA,A novel method for fingerprint image segmentation based on adaptative gabor filters
LEONARDO VIDAL BATISTA,Analysis of the performance improvement obtained by a genetic algorithm-based approach on a hand geometry dataset
LEONARDO VIDAL BATISTA,Análise Comparativa de Métodos de Aprendizagem de Máquina para Classificação de Massas em Mamografias
LEONARDO VIDAL BATISTA,Composer classification in symbolic data using PPM
LEONARDO VIDAL BATISTA,Texture Classification Using Prediction by Partial Matching Models‖
LEONARDO VIDAL BATISTA,Um Sistema Para Diagnóstico Auxiliado por Computador Voltado Para Imagens Mamográficas: Desempenho da Busca Baseada em Conteúdo na Recuperação de Achados
LEONARDO VIDAL BATISTA,Controle de Qualidade de Mamógrafos Utilizando Análise Computacional de Imagens de Fantoma
LEONARDO VIDAL BATISTA,Desenvolvimento de um Sistema de Auxílio ao Diagnóstico para Mamografia Digita
LEONARDO VIDAL BATISTA,Computerized biofeedback tool: application in electromyogram-biofeedback
LEONARDO VIDAL BATISTA,Residual m-net with frequency-domain loss function for latent fingerprint enhancement
LEONARDO VIDAL BATISTA,A novel approach for fingerprint singularities detection
LEONARDO VIDAL BATISTA,A new approach to biometric recognition based on hand geometry
LEONARDO VIDAL BATISTA,A Computer Aided Detection System for Microcalcifications in Breast Phantom Images.
LEONARDO VIDAL BATISTA,Um esquema de compressão de ECG utilizando seleção de picos e transformada cosseno discreta
LEONARDO VIDAL BATISTA,IP-Core para Compressão Sem Perdas de Sinais Biológicos
LEONARDO VIDAL BATISTA,Text Classification by Literary Period Using PPM-C Data Compression
LEONARDO VIDAL BATISTA,Compressão Com Controle de Perdas de Imagens Mamográficas Utilizando Segmentação e o Algoritmo PPM
LEONARDO VIDAL BATISTA,"A new multiscale, curvature-based shape representation technique for content-based image retrieval."
LEONARDO VIDAL BATISTA,Arquitetura Para um Sistema de Diagnóstico Auxiliado por Computador
LEONARDO VIDAL BATISTA,Fingerprint image enhancement using fully convolutional deep autoencoders Destaque de imagens de impressão digital utilizando autoencoders profundos totalmente convolucionais
LEONARDO VIDAL BATISTA,Desunificação nominal via ponto fixo
LEONARDO VIDAL BATISTA,Cumulative oil production in flow unit-crossing wells estimated by multilayer perceptron networks
LEONARDO VIDAL BATISTA,Normalization Methods Analysis Applied to Face Recognition
LEONARDO VIDAL BATISTA,Analysis of Shape-Based and Texture-Based Attributes in Classification of Mammographic Findings by Machine Learning Algorithms
LEONARDO VIDAL BATISTA,Analysis of a Genetic Algorithm-based Approach in the Optimization of the SourceAFIS's Matching Algorithm
LEONARDO VIDAL BATISTA,Compression of Polysomnographic Signals Using the Discrete Cosine Transform and Deadzone Optimal Quantization
LEONARDO VIDAL BATISTA,Fast non-local image denoising using a hardware implementation
LEONARDO VIDAL BATISTA,Uma Maneira Simples de Obter Regiões de Interesse em Imagens de Impressões Digitais
LEONARDO VIDAL BATISTA,Sistema Para Controle de Qualidade de Mamógrafos Através da Análise Computacional de Imagens de Phantom Utilizando a Ferramenta WEKA.
LEONARDO VIDAL BATISTA,A Biological Signals and Medical Images Lossless Compressor IP-Core Design
LEONARDO VIDAL BATISTA,Classificação de Sinais Eletrocardiográficos através do Algoritmo de Compressão PPM
LEONARDO VIDAL BATISTA,Segmentação Automática De Massas Mamográficas Por Intermédio Do Crescimento De Regiões E Árvore De Decisão
LEONARDO VIDAL BATISTA,Sistema para o Controle de Qualidade de Mamógrafos e Geração Automática de Laudos Através da Análise de Imagens de Fantoma
LEONARDO VIDAL BATISTA,Compressão Contextual sem Perdas de Eletrocardiogramas utilizando Recursos Reduzidos de Memória
LEONARDO VIDAL BATISTA,Segmentação de Imagens para Avaliação Morfométrica do Reparo Ósseo após o uso de Enxertos Ósseos
LEONARDO VIDAL BATISTA,CONTENT-BASED TEXTURE IMAGE RETRIEVAL USING THE LEMPEL-ZIV-WELCH ALGORITHM
LEONARDO VIDAL BATISTA,Análise de Imagens de Tumores de Câncer de Mama Baseada Em Conteúdo: Método da Full Curvature Scale Space
LEONARDO VIDAL BATISTA,An FPGA Implementation of a Lossless Electrocardiogram Compressor based on Prediction and Golomb-Rice Coding for Telemedicine Applications
LEONARDO VIDAL BATISTA,"Real-Time Active Fire Detection in the Pantanal Biome, Brazil, Using Convolutional Neural Networks"
LEONARDO VIDAL BATISTA,Leveraging Quantitative Structure-Activity Relationships to Design and Optimize Wall Material Formulations for Antioxidant Encapsulation via Spray Drying
LEONARDO VIDAL BATISTA,Analysis of Frequency Range Effect on the Detection of Voice Disorder Using Convolutional Neural Networks Trained on Spectogram Images
LEONARDO VIDAL BATISTA,Neural Architecture Search in the Context of Deep Multi-Task Learning.
LEONARDO VIDAL BATISTA,BioPass-UFPB: a Novel Multibiometric Database
LEONARDO VIDAL BATISTA,Abordagem passiva para reconhecimento de adulterações em imagens digitais através da análise do padrão CFA e do BAG
LEONARDO VIDAL BATISTA,Passive approach to recognition of tampering in digital images through the CFA and BAG standard analysis
LEONARDO VIDAL BATISTA,Monitor de Frequência Respiratória Utilizando Dois Acelerômetros
LEONARDO VIDAL BATISTA,Automated method for determining grid lines using MAMA-CDM phantom images
LEONARDO VIDAL BATISTA,DESENVOLVIMENTO DE UM SISTEMA PARA PRESET DE FERRAMENTAS POR MEIO DE PROCESSAMENTO DE IMAGENS PARA MÁQUINAS-FERRAMENTA CNC
LEONARDO VIDAL BATISTA,SDRF +: A Face Recognition System. In: Workshop de Visão Computacional
LEONARDO VIDAL BATISTA,Comparison of Normalization Methods Applied on Face Recognition
LEONARDO VIDAL BATISTA,PalmPass: Biometric Recognition by Computational Analysis of Palmar Print
LEONARDO VIDAL BATISTA,Método de medição sem contato e reconstrução 3D a partir do foco utilizando processamento e análise de imagens
LEONARDO VIDAL BATISTA,Análise computacional de imagens do Phantom mama-CDM e correlação com inspeção visual humana
LEONARDO VIDAL BATISTA,Otimização do algoritmo Non-local means utilizando uma implementação em FPGA
LEONARDO VIDAL BATISTA,Compressão de sinais eletrocardiográficos baseada em transformada discreta do cosseno e codificação de entropia
LEONARDO VIDAL BATISTA,Quality control of mammographs by image computational analysis and correlation with human visual inspection
LEONARDO VIDAL BATISTA,Classificação de Arritmias Utilizando Sinais de Variabilidade da Freqüência Cardíaca e o Algoritmo Prediction by Partial Matching
LEONARDO VIDAL BATISTA,Um Método para Correção de Imagens de Phantom e Classificação de suas Estruturas de Interesse
LEONARDO VIDAL BATISTA,Desenvolvimento de Técnicas Computacionais para Auxiliar Testes de Qualidade em Imagens Mamográficas que Utilizam o Phantom CDMAM 3.4.
LEONARDO VIDAL BATISTA,Mineral Granulometric Analysis using Mathematical Morphology
LEONARDO VIDAL BATISTA,Classificação de Sinais Eletrocardiográficos através do Algoritmo de Compressão PPM
LEONARDO VIDAL BATISTA,Uso do SunSPOT na Captação de Eletromiograma
LEONARDO VIDAL BATISTA,Processamento e Análise de Imagens Médicas
LEONARDO VIDAL BATISTA,Compressão Contextual sem Perdas de Eletrocardiogramas utilizando Recursos Reduzidos de Memória
LEONARDO VIDAL BATISTA,"Compression of ECG Signals Based on Discrete Cosine Transform, Block Classification and Golomb-Rice Coding"
LEONARDO VIDAL BATISTA,Compressão de sinais eletrocardiográficos baseada em transformada discreta do cosseno e codificação de entropia
LEONARDO VIDAL BATISTA,ANÁLISE COMPARATIVA DE TÉCNICAS DE CLASSIFICAÇÃO AUTOMÁTICA DE IMAGENS DE SENSORIAMENTO REMOTO
LEONARDO VIDAL BATISTA,Classificação de Singularidades em Imagens de Impressão Digital Baseada em Redes Neurais Convolucionais
LEONARDO VIDAL BATISTA,A simple and effective way to extract ROI in fingerprint images
LEONARDO VIDAL BATISTA,Controle de Qualidade de Mamógrafos Por de Análise Computacional de Imagens e Correlação com Inspeção Visual Humana
LEONARDO VIDAL BATISTA,Novel Method for Eyeglasses Detection in Frontal Face Images
LEONARDO VIDAL BATISTA,Otimização do algoritmo Non Local Means utilizando método de segmentação K-means
LEONARDO VIDAL BATISTA,Search and Automatic Summarization of Relevant Features in Forensic Scenarios
LEONARDO VIDAL BATISTA,A Biological Signals and Medical Images Lossless Compressor IP-Core Design
LEONARDO VIDAL BATISTA,Reconhecimento de adulteração de imagens JPEG através da inconsistência do Block Artifact Grid
LEONARDO VIDAL BATISTA,MAMMOGRAPHIC IMAGE OISY BIT PLA ES IDE TIFICATIO AD REMOVAL USI GA BI ARY PPM ALGORITHM ADA OPE SOURCE ARCHITECTURE
LEONARDO VIDAL BATISTA,PROJETO POLÍTICO PEDAGÓGICO DO CURSO DE CIÊNCIA DA COMPUTAÇÃO DO CCEN/UFPB
LEONARDO VIDAL BATISTA,An OCP Implementation of the Direct and Inverse Discrete Cosine Transform for HDTV
LEONARDO VIDAL BATISTA,SIMPLE AD EFFICIE T MAMMOGRAPHIC MASS SEGME TATIO TECH IQUES BASED OA OPE SOURCE ARCHITECTURE
LEONARDO VIDAL BATISTA,AN ECG SIGNAL COMPRESSOR BASED ON OPTIMIZED QUANTIZATION OF DISCRETE COSINE TRANSFORM CO-EFFICIENTS
LEONARDO VIDAL BATISTA,"ANÁLISE DE RUÍDO, COMPRESSÃO E SEGMENTAÇÃO DE IMAGENS MAMOGRÁFICAS"
LEONARDO VIDAL BATISTA,Arquitetura de um Sistema de Diagnóstico Auxiliado por Computador e Recuperação de Imagens Mamográficas por Conteúdo–SisDACRIM
LEONARDO VIDAL BATISTA,SEGMETAÇÃO DE IMAGENS PARA AVALIAÇÃO MORFOMÉTRICA DO REPARO ÓSSEO APÓS O USO DE ENXERTOS ÓSSEOS
LEONARDO VIDAL BATISTA,ATRIBUIÇÃO DE AUTORIA COM WEKA
LEONARDO VIDAL BATISTA,MAMMOGRAPHIC CONTENT-BASED IMAGE RETRIEVAL IMPLEMENTED ON AN OPEN SOURCE ARCHITECTURE
LILIANE DOS SANTOS MACHADO,Serious games baseados em realidade virtual para educação médica
LILIANE DOS SANTOS MACHADO,"Realidade virtual-definições, dispositivos e aplicações"
LILIANE DOS SANTOS MACHADO,Serious games para saúde e treinamento imersivo
LILIANE DOS SANTOS MACHADO,Satisfação do usuário da Atenção Básica em Saúde por regiões do Brasil: 1º ciclo de avaliação externa do PMAQ-AB
LILIANE DOS SANTOS MACHADO,Avaliação do sistema de referência e contrarreferência do estado da Paraíba segundo os profissionais da Atenção Básica no contexto do 1º ciclo de Avaliação Externa do PMAQ-AB
LILIANE DOS SANTOS MACHADO,"Realidade Virtual para saúde no Brasil: conceitos, desafios e oportunidades"
LILIANE DOS SANTOS MACHADO,Realidade virtual: fundamenteos e aplicações
LILIANE DOS SANTOS MACHADO,"O objeto, a finalidade e os instrumentos do processo de trabalho em saúde na atenção à violência de gênero em um serviço de atenção básica"
LILIANE DOS SANTOS MACHADO,A virtual reality simulator for bone marrow harvest for pediatric transplant
LILIANE DOS SANTOS MACHADO,Fuzzy rule-based evaluation for a haptic and stereo simulator for bone marrow harvest for transplant
LILIANE DOS SANTOS MACHADO,Conceitos básicos da realidade virtual
LILIANE DOS SANTOS MACHADO,Factors associated with user satisfaction regarding treatment offered in Brazilian primary health care
LILIANE DOS SANTOS MACHADO,A framework for development of virtual reality-based training simulators
LILIANE DOS SANTOS MACHADO,"Edentulismo, uso e necessidade de prótese e fatores associados em município do nordeste brasileiro"
LILIANE DOS SANTOS MACHADO,Jogos para capacitação de profissionais de saúde na atenção à violência de gênero
LILIANE DOS SANTOS MACHADO,User satisfaction with primary health care by region in Brazil: 1st cycle of external evaluation from PMAQ-AB
LILIANE DOS SANTOS MACHADO,A realidade virtual no modelamento e simulação de procedimentos invasivos em oncologia pediátrica: um estudo de caso no transplante de medula óssea.
LILIANE DOS SANTOS MACHADO,Psychomotor skills assessment in medical training based on virtual reality using a weighted possibilistic approach
LILIANE DOS SANTOS MACHADO,Gaussian naive bayes for online training assessment in virtual reality-based simulators
LILIANE DOS SANTOS MACHADO,Intelligent decisionmaking in training based on virtual reality
LILIANE DOS SANTOS MACHADO,Serious games based on virtual reality in medical education
LILIANE DOS SANTOS MACHADO,Multidisciplinaridade e o desenvolvimento de serious games e simuladores para educação em saúde
LILIANE DOS SANTOS MACHADO,Definição e Aplicação de um Modelo de Processo para o Desenvolvimento de Serious Games na Área de Saúde
LILIANE DOS SANTOS MACHADO,Fuzzy Gaussian Mixture Models for On-line Training Evaluation in Virtual Reality Simulators
LILIANE DOS SANTOS MACHADO,Interactive collaboration for virtual reality systems related to medical education and training
LILIANE DOS SANTOS MACHADO,A virtual environment for training and assessment of surgical teams
LILIANE DOS SANTOS MACHADO,AnatomI 3D: Um atlas digital baseado em realidade virtual para ensino de medicina
LILIANE DOS SANTOS MACHADO,SimCEC: a collaborative VR-based simulator for surgical teamwork education
LILIANE DOS SANTOS MACHADO,Assessment systems for training based on virtual reality: A comparison study
LILIANE DOS SANTOS MACHADO,Development of a vr simulator for medical training using free tools: A case study
LILIANE DOS SANTOS MACHADO,"Serious games na odontologia: Aplicações, características e possibilidades"
LILIANE DOS SANTOS MACHADO,Cybermed: realidade virtual para ensino médico
LILIANE DOS SANTOS MACHADO,Hidden markov models for learning evaluation in virtual-reality simulators
LILIANE DOS SANTOS MACHADO,Multiple assessment for multiple users in virtual reality training environments
LILIANE DOS SANTOS MACHADO,Applying haptic systems in serious games: A game for adult’s oral hygiene education
