Ano,Posição,Música,Streams
2009,37,Basshunter - All I Ever Wanted (OFFICIAL VIDEO) (Ultra Music),"14,480,679"
2009,38,Muse - Supermassive Black Hole [Official Music Video],"14,245,001"
2009,39,Pose - Daddy Yankee (Official Cartel version),"14,124,723"
2009,40,David Guetta Feat. Kelly Rowland - When Love Takes Over (Official Video),"13,572,742"
2009,41,"DADDY YANKEE | Somos de Calle Remix, EL CARTEL (Official Version)","13,559,574"
2009,42,Edward Maya & Vika Jigulina - Stereo Love (Official Music Video),"13,453,536"
2009,43,"""Chocolate Rain"" Original Song by Tay Zonday","13,091,705"
2009,44,Jonas Brothers - SOS Music Video - Official (HQ),"12,587,025"
2009,45,NIGHTWISH - Amaranth (OFFICIAL MUSIC VIDEO),"12,522,345"
2009,46,Jonas Brothers: When You Look Me In The Eyes - Official (HQ),"12,413,801"
2009,47,FLO Rida feat. T.Pain Music from the Movie Step Up 2 'Low',"12,407,445"
2009,48,Bewaffa Se Waffa - Hum Jaisa Kahin Aapko Dilber Na Milega - Lata Mangeshkar,"12,340,541"
2009,49,David Guetta & Chris Willis - Love Is Gone (Official Video),"12,107,014"
2009,50,Nuki Nuki (The Nuki Song) Full Version - GummibÃ¤r the Gummy Bear,"11,891,388"
2009,51,Lily Allen | Not Fair (Official Video),"11,654,942"
2009,52,Tina Turner - What's Love Got To Do With It (Official Music Video) [HD Upgrade],"11,455,526"
2009,53,David Guetta Feat. Akon - Sexy Chick (Official Video),"10,370,362"
2009,54,My Chemical Romance - Teenagers [Official Music Video] [4K],"10,205,400"
2009,55,Sean Paul - So Fine (Official Video),"10,193,615"
2009,56,Vicente FernÃ¡ndez - Volver Volver (Video de PelÃ­cula),"10,192,260"
2009,57,Imran Khan - Amplifier (Official Music Video),"10,145,683"
2009,58,Inna - Hot (True Love Video Edit) (Ultra Music),"10,059,452"
2009,59,Que Tengo Que Hacer - Daddy Yankee (Official Video),"9,934,729"
2009,60,Tina Turner - The Best (Official Music Video) [HD Upgrade],"9,817,978"
2009,61,Michael BublÃ© - Haven't Met You Yet [Official Music Video],"9,749,764"
2009,62,NIGHTWISH - Bye Bye Beautiful (OFFICIAL MUSIC VIDEO),"9,479,031"
2009,63,Zac Brown Band - Chicken Fried (Official Music Video) | The Foundation,"9,339,985"
2009,64,Guru Josh Project - Infinity 2008 (Official Video - Klaas Vocal Edit),"8,647,945"
2009,65,Aventura - Su Veneno (Version Bachata),"8,526,065"
2009,66,Peter Fox - Alles neu (offizielles Video),"8,520,121"
2009,67,My Chemical Romance - Famous Last Words [Official Music Video] [HD],"8,495,375"
2009,68,Shaggy - It Wasn't Me with Lyrics!,"8,256,665"
2009,69,Gnarls Barkley - Crazy,"8,206,295"
2009,70,Vicente FernÃ¡ndez - Le Pese a Quien Le Pese (Video de PelÃ­cula),"8,103,365"
2009,71,BIGBANG & 2NE1 - LOLLIPOP M/V,"7,919,720"
2009,72,Coldplay - Life In Technicolor ii (Official Video),"7,826,345"
2009,73,David Bisbal - DÃ­gale,"7,760,995"
2009,74,Choco Choco Choco - GummibÃ¤r The Gummy Bear,"7,590,431"
2009,75,Mi historia entre tus dedos - Gianluca Grignani,"7,105,455"
2009,76,Bob Sinclar - Love Generation (Official Video),"7,065,362"
2009,77,Coldplay - The Scientist,"6,943,393"
2009,78,Coldplay - Yellow,"6,932,016"
2009,79,Katy Perry - Waking Up In Vegas (Official),"6,878,477"
2009,80,Coldplay - Violet Hill (Official Video),"6,830,871"
2009,81,Arcangel - Por Amar A Ciegas (ArcangelLaMaraviLLa.NeT),"6,754,325"
2009,82,Oasis - Don't Look Back In Anger (Official Video),"6,702,495"
2009,83,Arctic Monkeys - Fluorescent Adolescent (Official Video),"6,640,080"
2009,84,Eric Clapton/Tears in heaven,"6,612,705"
2009,85,The Gummy Bear Song - Long English Version - GummibÃ¤r,"6,481,182"
2009,86,Ich Bin Dein GummibÃ¤r - Full German Version - The Gummy Bear Song,"6,480,833"
2009,87,Arcangel - Pa Que La Pases Bien - OFFICIAL VIDEO,"6,457,580"
2009,88,Bryan Adams - Have You Ever Really Loved A Woman?,"6,355,745"
2009,89,Fantasia - When I See U,"6,342,713"
2009,90,Aventura - Por Un Segundo,"6,305,964"
2009,91,With You - Chris Brown Cover - Justin singing,"6,256,465"
2009,92,Cool Guys Don't Look At Explosions,"6,251,465"
2009,93,Village People - YMCA (OFFICIAL Music Video 1978),"6,234,292"
2009,94,Hilary Duff - Stranger - Official Video (HQ),"6,228,761"
2009,95,Selena Gomez & The Scene - Falling Down (SD Version),"6,152,008"
2009,96,Girls' Generation ìëìë 'Gee' MV,"5,947,850"
2009,97,Vicente FernÃ¡ndez - Por Tu Maldito Amor,"5,871,018"
2009,98,Demi Lovato - Don't Forget,"5,763,546"
2009,99,Katy Perry - I Kissed A Girl (Official Music Video),"5,690,165"
2009,100,"Plain White T's - ""Hey There Delilah"" (Official Music Video)","5,638,711"
2010,1,Justin Bieber - Baby ft. Ludacris,"425,688,273"
2010,2,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cupâ¢ Song),"270,763,563"
2010,3,Lady Gaga - Bad Romance (Official Music Video),"266,191,920"
2010,4,Eminem - Love The Way You Lie ft. Rihanna,"251,890,764"
2010,5,Justin Bieber - One Time (Official Music Video),"183,274,415"
2010,6,Eminem - Not Afraid,"177,903,991"
2010,7,Justin Bieber - Never Say Never ft. Jaden,"128,397,230"
2010,8,Rihanna - Rude Boy,"124,787,773"
2010,9,Miley Cyrus - Party In The U.S.A. (Official Video),"119,246,380"
2010,10,Lady Gaga - Alejandro (Official Music Video),"114,376,182"
2010,11,Justin Bieber - Somebody To Love Remix ft. Usher (Official Music Video),"113,130,623"
2010,12,Justin Bieber - Never Let You Go,"110,940,537"
2010,13,Justin Bieber - One Less Lonely Girl,"100,300,956"
2010,14,Lady Gaga - Telephone ft. BeyoncÃ© (Official Music Video),"99,795,919"
2010,15,B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],"98,108,105"
2010,16,Selena Gomez & The Scene - Naturally,"76,911,286"
2010,17,Rihanna - What's My Name? ft. Drake,"75,576,568"
2010,18,Jason Derulo - In My Head (Official Lyrics Video),"75,524,012"
2010,19,Rihanna - Only Girl (In The World),"69,134,379"
2010,20,Pitbull - I Know You Want Me (Calle Ocho) (Official Video) [Ultra Records],"68,912,864"
2010,21,Jason Derulo - Whatcha Say [Official Music Video],"68,906,016"
2010,22,Bruno Mars - Just The Way You Are (Official Music Video),"68,535,933"
2010,23,Taylor Swift - You Belong With Me,"68,408,738"
2010,24,Katy Perry - Firework (Official Music Video),"67,736,779"
2010,25,Enrique Iglesias - I Like It (Official Music Video),"64,254,901"
2010,26,Travie McCoy: Billionaire ft. Bruno Mars [OFFICIAL VIDEO],"63,485,064"
2010,27,The Gummy Bear Song - Long English Version,"63,131,060"
2010,28,Taio Cruz - Dynamite (Official Video),"62,960,451"
2010,29,Eminem - Beautiful (Official Music Video),"62,869,480"
2010,30,Miley Cyrus - Can't Be Tamed,"59,537,579"
2010,31,David Guetta & Chris Willis Feat. Fergie & LMFAO - Gettin' Over You (Official Video),"58,907,670"
2010,32,B.o.B - Nothin' On You (feat. Bruno Mars) [Official Video],"58,300,887"
2010,33,The Black Eyed Peas - I Gotta Feeling (Official Music Video),"57,657,039"
2010,34,Jay Sean - Down ft. Lil Wayne (Official Music Video) ft. Lil Wayne,"57,314,990"
2010,35,Flo Rida - Club Can't Handle Me ft. David Guetta [Official Music Video] - Step Up 3D,"56,556,859"
2010,36,Lady Gaga - Poker Face (Official Music Video),"56,012,268"
2010,37,Miley Cyrus - The Climb,"55,248,929"
2010,38,Don Omar - Danza Kuduro ft. Lucenzo,"52,928,844"
2010,39,Young Money - Bed Rock (Official Music Video),"52,020,625"
2010,40,Je m'appelle Funny Bear - Full French Version - Gummy Bear Song,"51,534,814"
2010,41,"Enrique Iglesias, Juan Luis Guerra - Cuando Me Enamoro (Closed-Captioned)","49,020,766"
2010,42,Taio Cruz - Break Your Heart (Official Video) ft. Ludacris,"48,828,627"
2010,43,The Black Eyed Peas - Meet Me Halfway (Official Music Video),"48,711,508"
2010,44,Nelly - Just A Dream (Official Music Video),"46,670,921"
2010,45,Lady Gaga - Paparazzi (Official Music Video),"45,540,743"
2010,46,Jason Derulo - Ridin' Solo [Official HD Music Video],"44,591,199"
2010,47,Replay (Prequel) [Music Video] - Iyaz,"44,539,350"
2010,48,GummibÃ¤r - CHO KA KA O - French music video,"44,449,257"
2010,49,Nuki Nuki (The Nuki Song) Full Version - GummibÃ¤r the Gummy Bear,"44,124,283"
2010,50,Katy Perry - Teenage Dream (Official Music Video),"43,314,450"
2010,51,The Black Eyed Peas - Boom Boom Pow (Official Music Video),"42,531,315"
2010,52,Eminem - When I'm Gone (Official Music Video),"42,426,311"
2010,53,Owl City - Fireflies (Official Music Video),"42,093,322"
2010,54,"Sean Kingston & Justin Bieber ""Eenie Meenie""","41,669,703"
2010,55,"Jay Sean - Do You Remember ft. Sean Paul, Lil Jon","40,790,045"
2010,56,"Far East Movement - Like A G6 ft. The Cataracs, DEV","40,469,804"
2010,57,Timbaland - If We Ever Meet Again ft. Katy Perry (Official Music Video),"40,178,956"
2010,58,Edward Maya & Vika Jigulina - Stereo Love (Official Music Video),"39,922,605"
2010,59,"DJ KHALED, AKON & TI ""We Takin' Over""","39,062,461"
2010,60,Wisin & Yandel - Te Siento (Official Video),"39,037,209"
2010,61,Miley Cyrus - When I Look At You,"38,921,778"
2010,62,Usher - OMG ft. will.i.am,"38,482,236"
2010,63,Rihanna - Hard ft. Jeezy,"38,119,941"
2010,64,New Divide (Official Music Video) [4K Upgrade] - Linkin Park,"38,069,046"
2010,65,Lady Gaga - Just Dance (Official Music Video) ft. Colby O'Donis,"37,867,008"
2010,66,Taylor Swift - Love Story,"36,964,522"
2010,67,Rihanna - Russian Roulette,"36,221,063"
2010,68,Drake - Find Your Love (Extended Version),"35,543,458"
2010,69,Timbaland - Carry Out (Official Music Video) ft. Justin Timberlake,"35,331,246"
2010,70,Waka Waka (Esto es Africa) (Cancion Oficial de la Copa Mundial de la FIFAï¿½ Sudafrica 2010),"35,155,497"
2010,71,Lady Gaga - LoveGame (Official Music Video),"35,085,789"
2010,72,Lady Gaga - Telephone ft. BeyoncÃ© (Explicit) (Official Music Video),"34,927,008"
2010,73,The Black Eyed Peas - Pump It (Official Music Video),"34,374,344"
2010,74,3OH!3 - STARSTRUKK (Feat. Katy Perry) [OFFICIAL MUSIC VIDEO],"34,346,123"
2010,75,Carlos Baute - Colgando en tus manos (con Marta Sanchez),"34,336,645"
2010,76,Justin Bieber - Love Me,"34,180,005"
2010,77,"Akon - Beautiful (Official Music Video) ft. Colby O'Donis, Kardinal Offishall","33,907,002"
2010,78,Selena Gomez & The Scene - A Year Without Rain,"33,831,647"
2010,79,David Guetta Feat. Kid Cudi - Memories (Official Video),"33,150,878"
2010,80,Miley Cyrus - 7 Things,"32,698,589"
2010,81,Ke$ha - TiK ToK (Official HD Video),"32,663,517"
2010,82,Eminem - Like Toy Soldiers (Official Music Video),"32,578,303"
2010,83,Eminem - No Love (Explicit Version) ft. Lil Wayne,"32,226,681"
2010,84,Black Eyed Peas - Imma Be Rocking That Body (Official Music Video),"31,960,669"
2010,85,Armin van Buuren feat. Sharon den Adel - In And Out Of Love (Official Music Video),"31,958,526"
2010,86,Jason Mraz - I'm Yours (Official Video) [4K Remaster],"31,800,990"
2010,87,Al Final (Video Oficial) - Lilly Goodman,"31,468,110"
2010,88,Ke$ha - Take It Off,"31,072,154"
2010,89,Selena Gomez & The Scene - Round & Round,"30,964,939"
2010,90,Drake - Over,"30,873,740"
2010,91,Taylor Swift - Mine,"30,811,621"
2010,92,Rihanna - Unfaithful (Official Music Video),"30,750,915"
2010,93,The Black Eyed Peas - My Humps,"30,298,651"
2010,94,Rihanna - Te Amo,"29,872,472"
2010,95,The Black Eyed Peas - The Time (Dirty Bit) (Audio),"29,593,613"
2010,96,Bruno Mars - Grenade (Official Music Video),"29,554,092"
2010,97,Replay [Official Music Video] - Iyaz,"29,528,512"
2010,98,"Sean Kingston, Justin Bieber - Eenie Meenie (Official Video)","29,452,944"
2010,99,The Black Eyed Peas - The Time (Dirty Bit),"29,306,918"
2010,100,The Verve - Bitter Sweet Symphony,"29,154,375"
2011,1,Jennifer Lopez - On The Floor ft. Pitbull,"464,314,065"
2011,2,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","339,831,953"
2011,3,Justin Bieber - Baby ft. Ludacris,"259,746,426"
2011,4,Bruno Mars - The Lazy Song (Official Music Video),"255,516,145"
2011,5,Don Omar - Danza Kuduro ft. Lucenzo,"233,773,784"
2011,6,Nicki Minaj - Super Bass (Official Video),"211,086,283"
2011,7,Pitbull - Rain Over Me ft. Marc Anthony,"207,027,160"
2011,8,Bruno Mars - Grenade (Official Music Video),"203,379,294"
2011,9,Adele - Rolling in the Deep (Official Music Video),"200,027,926"
2011,10,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","196,377,598"
2011,11,Katy Perry - Firework (Official Music Video),"194,357,844"
2011,12,LMFAO - Sexy and I Know It,"186,905,364"
2011,13,Jessie J - Price Tag ft. B.o.B,"176,009,415"
2011,14,Eminem - Love The Way You Lie ft. Rihanna,"167,803,430"
2011,15,Shakira - Waka Waka (This Time for Africa) (The Official 2010 FIFA World Cupâ¢ Song),"165,186,302"
2011,16,Justin Bieber - Never Say Never ft. Jaden,"162,951,193"
2011,17,Katy Perry - E.T. ft. Kanye West (Official Music Video),"153,680,451"
2011,18,Rihanna - What's My Name? ft. Drake,"150,550,008"
2011,19,Katy Perry - Last Friday Night (T.G.I.F.) (Official Music Video),"147,663,517"
2011,20,Bruno Mars - Just The Way You Are (Official Music Video),"144,625,877"
2011,21,The Black Eyed Peas - The Time (Dirty Bit),"140,524,921"
2011,22,"Chris Brown - Look at Me Now (Official Video) ft. Lil Wayne, Busta Rhymes","140,007,051"
2011,23,Rihanna - Only Girl (In The World),"131,022,060"
2011,24,Eminem - Not Afraid,"128,187,982"
2011,25,Rihanna - Man Down,"126,551,758"
2011,26,I Just Had Sex (feat. Akon),"124,727,242"
2011,27,Lady Gaga - Judas (Official Music Video),"121,989,244"
2011,28,Shakira - Rabiosa (English Version) ft. Pitbull,"115,952,327"
2011,29,BeyoncÃ© - Run the World (Girls) (Official Video),"114,383,074"
2011,30,Alexandra Stan - Mr. Saxobeat (Official Video),"111,267,653"
2011,31,Lady Gaga - Bad Romance (Official Music Video),"111,131,832"
2011,32,Selena Gomez & The Scene - Who Says,"109,705,290"
2011,33,Jennifer Lopez - I'm Into You ft. Lil Wayne,"103,579,803"
2011,34,The Black Eyed Peas - Just Can't Get Enough (Official Music Video),"100,624,041"
2011,35,Michel TelÃ³ - Ai Se Eu Te Pego -  Video Oficial (Assim vocÃª me mata),"99,977,905"
2011,36,Rihanna - California King Bed,"98,180,224"
2011,37,Rihanna - We Found Love ft. Calvin Harris,"98,000,802"
2011,38,Avril Lavigne - What The Hell (Official Video),"97,256,854"
2011,39,Wiz Khalifa - Black And Yellow [Official Music Video],"94,787,270"
2011,40,Selena Gomez & The Scene - Love You Like A Love Song,"92,931,890"
2011,41,"David Guetta - Where Them Girls At ft. Nicki Minaj, Flo Rida (Official Video)","91,039,004"
2011,42,Justin Bieber - Somebody To Love Remix ft. Usher (Official Music Video),"90,360,913"
2011,43,Justin Bieber - Mistletoe (Official Music Video),"86,903,795"
2011,44,Lady Gaga - Born This Way (Official Music Video),"86,677,462"
2011,45,Britney Spears - Till The World Ends (Official Video),"83,942,598"
2011,46,Adele - Someone Like You (Official Music Video),"83,222,671"
2011,47,Miley Cyrus - Party In The U.S.A. (Official Video),"81,781,878"
2011,48,"Dr. Dre - I Need A Doctor (Explicit) ft. Eminem, Skylar Grey","79,515,347"
2011,49,Jeremih - Down On Me ft. 50 Cent,"78,970,340"
2011,50,Don Omar - Taboo,"78,102,796"
2011,51,Pitbull - Hey Baby (Drop It To The Floor) ft. T-Pain,"78,049,400"
2011,52,Justin Bieber - One Time (Official Music Video),"76,194,973"
2011,53,Chris Brown - Yeah 3x,"76,039,764"
2011,54,Maroon 5 - Moves Like Jagger ft. Christina Aguilera (Official Music Video),"75,120,908"
2011,55,Britney Spears - I Wanna Go (Official Video),"74,703,024"
2011,56,Diddy - Dirty Money - Coming Home ft. Skylar Grey,"74,362,560"
2011,57,LMFAO - Champagne Showers ft. Natalia Kills,"73,131,819"
2011,58,Britney Spears - Hold It Against Me (Official Video),"71,541,204"
2011,59,"Enrique Iglesias - Tonight (I'm Lovin' You) ft. Ludacris, DJ Frank E","70,783,394"
2011,60,Chris Brown - Next To You (Official Music Video) ft. Justin Bieber,"70,138,935"
2011,61,Selena Gomez & The Scene - A Year Without Rain,"68,054,169"
2011,62,Justin Bieber - Love Me,"66,637,658"
2011,63,Shakira - Loca (Spanish Version) ft. El Cata,"65,989,182"
2011,64,Tinie Tempah - Written In The Stars ft. Eric Turner,"65,557,162"
2011,65,BeyoncÃ© - Best Thing I Never Had (Video),"65,511,430"
2011,66,Snoop Dogg - âSweatâ Snoop Dogg vs David Guetta (Remix) ft. David Guetta,"64,340,940"
2011,67,Taylor Swift - You Belong With Me,"64,304,648"
2011,68,The Gummy Bear Song - Long English Version,"64,209,904"
2011,69,Selena Gomez & The Scene - Naturally,"63,496,342"
2011,70,Jack Sparrow (feat. Michael Bolton),"63,469,115"
2011,71,Avril Lavigne - Wish You Were Here (Official Video),"62,728,893"
2011,72,"David Guetta - Little Bad Girl ft. Taio Cruz, Ludacris (Official Video)","61,876,514"
2011,73,Jason Derulo - Don't Wanna Go Home (Official Video),"61,009,313"
2011,74,Nelly - Just A Dream (Official Music Video),"60,444,994"
2011,75,Rihanna - Cheers (Drink To That),"60,301,512"
2011,76,"Kanye West - All Of The Lights ft. Rihanna, Kid Cudi","60,174,100"
2011,77,Wiz Khalifa - Roll Up [Official Music Video],"59,151,836"
2011,78,Gym Class Heroes: Stereo Hearts ft. Adam Levine [OFFICIAL VIDEO],"58,481,882"
2011,79,Lady Gaga - Poker Face (Official Music Video),"58,427,584"
2011,80,Nuki Nuki (The Nuki Song) Full Version - GummibÃ¤r the Gummy Bear,"58,378,520"
2011,81,Rihanna - Rude Boy,"58,371,031"
2011,82,Adele - Someone Like You (Live in Her Home),"57,721,929"
2011,83,The Black Eyed Peas - Donât Stop The Party,"54,883,977"
2011,84,David Guetta - Without You ft. Usher (Official Video),"54,864,460"
2011,85,Enrique Iglesias - I Like It (Official Music Video),"54,810,841"
2011,86,Justin Bieber - One Less Lonely Girl,"54,392,449"
2011,87,LMFAO - Shots ft. Lil Jon,"54,102,805"
2011,88,B.o.B - Airplanes (feat. Hayley Williams of Paramore) [Official Video],"54,007,847"
2011,89,Foster The People - Pumped Up Kicks (Official Video),"53,860,959"
2011,90,Skrillex - Scary Monsters And Nice Sprites (Official Audio),"53,439,331"
2011,91,BeyoncÃ© - Single Ladies (Put a Ring on It) (Video Version),"52,700,373"
2011,92,Travie McCoy: Billionaire ft. Bruno Mars [OFFICIAL VIDEO],"52,592,432"
2011,93,Eminem - No Love (Explicit Version) ft. Lil Wayne,"51,904,377"
2011,94,Nicole Scherzinger - Right There ft. 50 Cent,"51,218,700"
2011,95,Eminem - Beautiful (Official Music Video),"50,732,643"
2011,96,Wiz Khalifa - On My Level Ft. Too Short [Official Music Video],"50,569,815"
2011,97,The Creep (feat. Nicki Minaj & John Waters),"50,546,674"
2011,98,Justin Bieber - Never Let You Go,"50,337,363"
2011,99,christina perri - jar of hearts [official music video],"50,055,336"
2011,100,David Guetta & Chris Willis Feat. Fergie & LMFAO - Gettin' Over You (Official Video),"50,032,984"
2012,1,PSY - GANGNAM STYLE(ê°ë¨ì¤íì¼) M/V,"1,101,849,272"
2012,2,Carly Rae Jepsen - Call Me Maybe,"373,824,140"
2012,3,Michel TelÃ³ - Ai Se Eu Te Pego -  Video Oficial (Assim vocÃª me mata),"373,608,879"
2012,4,Gotye - Somebody That I Used To Know (feat. Kimbra) [Official Music Video],"331,408,797"
2012,5,One Direction - What Makes You Beautiful (Official Video),"271,945,208"
2012,6,PSY (ft. HYUNA) - ì¤ë¹¤ ë± ë´ ì¤íì¼ M/V,"223,282,556"
2012,7,Pitbull - International Love (Official Video) ft. Chris Brown,"217,957,581"
2012,8,Jennifer Lopez - Dance Again (Official Video) ft. Pitbull,"198,488,409"
2012,9,Justin Bieber - Boyfriend,"196,463,408"
2012,10,One Direction - One Thing,"191,558,150"
2012,11,Lil Wayne - Mirror ft. Bruno Mars (Official Music Video),"191,328,920"
2012,12,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock","173,448,918"
2012,13,Jennifer Lopez - On The Floor ft. Pitbull,"172,917,027"
2012,14,David Guetta - Turn Me On ft. Nicki Minaj (Official Video),"171,711,310"
2012,15,Pitbull - Rain Over Me ft. Marc Anthony,"170,440,153"
2012,16,Adele - Rolling in the Deep (Official Music Video),"163,669,493"
2012,17,Adele - Someone Like You (Official Music Video),"155,525,821"
2012,18,Rihanna - Where Have You Been,"154,097,032"
2012,19,LMFAO - Sorry For Party Rocking,"142,884,447"
2012,20,Flo Rida - Wild Ones ft. Sia [Official Video],"142,651,636"
2012,21,David Guetta - Titanium ft. Sia (Official Video),"141,923,033"
2012,22,Rihanna - We Found Love ft. Calvin Harris,"134,278,331"
2012,23,Coldplay - Paradise (Official Video),"133,165,285"
2012,24,Justin Bieber - Baby ft. Ludacris,"132,652,185"
2012,25,One Direction - Live While We're Young,"131,750,904"
2012,26,Don Omar - Danza Kuduro ft. Lucenzo,"129,588,705"
2012,27,Justin Bieber - Beauty And A Beat (Official Music Video) ft. Nicki Minaj,"127,615,506"
2012,28,Katy Perry - Part Of Me (Official),"120,921,661"
2012,29,JESSE & JOY â Â¡Corre! (Video Oficial),"116,711,433"
2012,30,The Gummy Bear Song - Long English Version,"115,222,592"
2012,31,Katy Perry - Wide Awake (Official Video),"114,849,556"
2012,32,Rihanna - Diamonds,"113,341,545"
2012,33,Katy Perry - The One That Got Away (Official Music Video),"109,373,948"
2012,34,Eminem - Love The Way You Lie ft. Rihanna,"108,027,581"
2012,35,"Wisin & Yandel, Jennifer Lopez - Follow The Leader (Official Video) ft. Jennifer Lopez","106,650,521"
2012,36,Taylor Swift - We Are Never Ever Getting Back Together,"105,068,986"
2012,37,Bruno Mars - The Lazy Song (Official Music Video),"102,860,903"
2012,38,Nicki Minaj - Starships (Explicit) (Official Video),"101,586,393"
2012,39,Maroon 5 - One More Night (Official Music Video),"100,265,510"
2012,40,Bruno Mars - It Will Rain (Official Music Video),"100,244,971"
2012,41,Sean Paul - She Doesn't Mind (Official Video),"99,618,662"
2012,42,Jessie J - Domino (Official Video),"98,965,130"
2012,43,Justin Bieber - As Long As You Love Me ft. Big Sean,"98,742,690"
2012,44,Maroon 5 - Payphone ft. Wiz Khalifa (Lyric Video),"95,833,850"
2012,45,SKRILLEX - Bangarang feat. Sirah [Official Music Video],"95,010,502"
2012,46,Flo Rida - Good Feeling [Official Video],"94,697,925"
2012,47,Nicki Minaj - Super Bass (Official Video),"93,883,709"
2012,48,Fun.: We Are Young ft. Janelle MonÃ¡e [OFFICIAL VIDEO],"93,500,190"
2012,49,will.i.am - This Is Love ft. Eva Simons,"89,637,568"
2012,50,Jennifer Lopez - Goin' In ft. Flo Rida,"89,297,837"
2012,51,Maroon 5 - Payphone ft. Wiz Khalifa (Explicit) (Official Music Video),"83,214,539"
2012,52,Nicki Minaj - Beez In The Trap (Explicit) ft. 2 Chainz,"81,799,327"
2012,53,Katy Perry - Firework (Official Music Video),"81,431,648"
2012,54,David Guetta - She Wolf (Falling To Pieces) ft. Sia (Official Video),"80,716,774"
2012,55,Lana Del Rey - Born To Die,"80,351,725"
2012,56,Chris Brown - Turn Up the Music,"79,747,243"
2012,57,Shakira - Addicted to You,"79,575,523"
2012,58,Avril Lavigne - Wish You Were Here (Official Video),"77,102,821"
2012,59,Eminem - Not Afraid,"76,788,569"
2012,60,"Pitbull - Give Me Everything ft. Ne-Yo, Afrojack, Nayer","75,812,797"
2012,61,"Snoop Dogg & Wiz Khalifa - Young, Wild and Free ft. Bruno Mars [Official Video]","75,539,621"
2012,62,ADELE - Skyfall,"75,209,476"
2012,63,Nicki Minaj - Right By My Side (Official Music Video) ft. Chris Brown,"75,016,754"
2012,64,Rihanna - You Da One,"74,547,345"
2012,65,Vazquez Sounds Adele - Rolling In The Deep (Cover),"72,498,249"
2012,66,Taylor Swift - You Belong With Me,"70,672,234"
2012,67,Skrillex - First Of The Year (Equinox) [Official Music Video],"70,654,702"
2012,68,Owl City & Carly Rae Jepsen - Good Time (Official Video),"70,616,524"
2012,69,One Direction - Gotta Be You,"70,594,861"
2012,70,LMFAO - Sexy and I Know It,"70,490,678"
2012,71,Jessie J - Price Tag ft. B.o.B,"69,859,495"
2012,72,Chris Brown - Don't Wake Me Up,"69,709,479"
2012,73,Guns N' Roses - November Rain,"69,420,676"
